case_id,category,full_case,your_verdict,your_reason,time_seconds
adv_negation_trap_24,negation_trap,"SETUP_FACTS:
  - User never drinks alcohol at social events.
  - User's favorite beverage is craft soda.
MUTATIONS:
  - ('release', 'user never drinks alcohol')
FINAL_QUERY: What does the user drink?
MUST_CONTAIN: ['craft soda']
MUST_NOT_CONTAIN: ['never drinks alcohol']",,,
adv_temporal_qualifier_27,temporal_qualifier,"SETUP_FACTS:
  - Diana lived in Paris from 2018 to 2021.
  - Diana speaks fluent French.
MUTATIONS:
  - ('supersede', 'Diana residence Paris 2018', 'Diana moved to Barcelona in 2021.')
  - ('supersede', 'Diana residence Barcelona 2021', 'Diana relocated to Singapore in 2023.')
FINAL_QUERY: Where does Diana currently live?
MUST_CONTAIN: ['Singapore', '2023']
MUST_NOT_CONTAIN: ['Paris', 'Barcelona']",,,
adv_shared_attribute_06,shared_attribute,"SETUP_FACTS:
  - Liam is enrolled in CS 224N and CS 231N this term.
  - Mia is enrolled in CS 224N and CS 230 this term.
  - Noah is enrolled in MATH 51 only.
MUTATIONS:
  - ('release', 'everything about student Liam this term')
FINAL_QUERY: Who is enrolled in CS 224N?
MUST_CONTAIN: ['Mia']
MUST_NOT_CONTAIN: ['Liam is enrolled in CS 224N']",,,
adv_shared_attribute_29,shared_attribute,"SETUP_FACTS:
  - Team Alpha uses Python and Java for development.
  - Team Beta uses Python and C++ for development.
  - Team Gamma uses only Rust.
MUTATIONS:
  - ('release', 'everything about Team Alpha')
FINAL_QUERY: Which teams use Python?
MUST_CONTAIN: ['Team Beta', 'Python']
MUST_NOT_CONTAIN: ['Team Alpha uses Python']",,,
adv_prefix_collision_15,prefix_collision,"SETUP_FACTS:
  - Commit hash abc1234 reverted the payment bug.
  - Commit hash abc12345 fixed the email template typo.
  - CI pipeline was migrated to a new runner.
MUTATIONS:
  - ('purge', 'commit abc1234 record')
FINAL_QUERY: What did commit abc12345 do?
MUST_CONTAIN: ['email template typo']
MUST_NOT_CONTAIN: ['abc1234 reverted the payment']",,,
adv_recursive_supersession_12,recursive_supersession,"SETUP_FACTS:
  - Student attended Stanford University from 2017-2021.
MUTATIONS:
  - ('supersede', 'student university Stanford', 'Student transferred to MIT in 2022 for graduate studies.')
  - ('supersede', 'student university MIT', 'Student returned to Stanford in 2024 for PhD program.')
FINAL_QUERY: Where is the student currently enrolled?
MUST_CONTAIN: ['Stanford']
MUST_NOT_CONTAIN: ['MIT']",,,
adv_recursive_supersession_37,recursive_supersession,"SETUP_FACTS:
  - User used Spotify as their primary music service in 2019.
MUTATIONS:
  - ('supersede', 'user music service Spotify', 'User switched to Apple Music in 2021 for better integration.')
  - ('supersede', 'user music service Apple Music', 'User went back to Spotify in 2023 for its playlist features.')
FINAL_QUERY: What music service does the user currently use?
MUST_CONTAIN: ['Spotify']
MUST_NOT_CONTAIN: ['switched to Apple Music in 2021']",,,
adv_shared_attribute_25,shared_attribute,"SETUP_FACTS:
  - Professor Smith teaches Physics 101 at Harvard.
  - Professor Johnson teaches Physics 101 at MIT.
  - Professor Lee teaches Chemistry 201 at Stanford.
MUTATIONS:
  - ('release', 'everything about Professor Smith')
FINAL_QUERY: Who teaches Physics 101?
MUST_CONTAIN: ['Johnson', 'Physics 101']
MUST_NOT_CONTAIN: ['Smith teaches Physics 101']",,,
adv_prefix_collision_18,prefix_collision,"SETUP_FACTS:
  - Customer phone +1-555-123-4567 has premium membership.
  - Customer phone +1-555-123-8901 has standard membership.
  - The store will open late on Sunday.
MUTATIONS:
  - ('purge', '+1-555-123-4567')
FINAL_QUERY: Which phone number has standard membership?
MUST_CONTAIN: ['+1-555-123-8901']
MUST_NOT_CONTAIN: ['+1-555-123-4567']",,,
adv_recursive_supersession_27,recursive_supersession,"SETUP_FACTS:
  - The museum displayed Renaissance art in Gallery A before 2021.
MUTATIONS:
  - ('supersede', 'museum Gallery A Renaissance', 'The museum replaced Renaissance with Modern art in Gallery A in 2021.')
  - ('supersede', 'museum Gallery A Modern', 'The museum reinstalled Renaissance art in Gallery A in 2023.')
FINAL_QUERY: What art style is currently in Gallery A?
MUST_CONTAIN: ['Renaissance']
MUST_NOT_CONTAIN: ['Modern']",,,
adv_identifier_obfuscation_18,identifier_obfuscation,"SETUP_FACTS:
  - User ""john.doe""@example.org has admin privileges.
  - User john.doe@example.org (unquoted) refers to the same account.
  - Server maintenance is scheduled for tonight.
MUTATIONS:
  - ('purge', '""john.doe""@example.org')
FINAL_QUERY: Does john.doe@example.org have admin rights?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['""john.doe""@example.org has admin', 'john.doe@example.org refers to the same']",,,
adv_substring_trap_25,substring_trap,"SETUP_FACTS:
  - Alice works at Stripe as a data scientist.
  - Alice's favorite dessert is tiramisu.
  - The meeting had an alice blue color scheme.
  - Bob handles customer support escalations.
MUTATIONS:
  - ('release', 'everything about Alice the data scientist')
FINAL_QUERY: Who are the employees we discussed?
MUST_CONTAIN: ['Bob']
MUST_NOT_CONTAIN: ['Alice works', ""Alice's favorite""]",,,
adv_negation_trap_26,negation_trap,"SETUP_FACTS:
  - User never eats spicy food due to medical advice.
  - User's favorite cuisine is Italian.
MUTATIONS:
  - ('release', 'user never eats spicy food')
FINAL_QUERY: What are the user's dietary preferences?
MUST_CONTAIN: ['Italian']
MUST_NOT_CONTAIN: ['never eats spicy food', 'medical advice']",,,
adv_cross_lingual_identifier_10,cross_lingual_identifier,"SETUP_FACTS:
  - Vendor สมชาย ใจดี delivered the parts.
  - Same vendor Somchai Jaidee (romanized) issued an invoice.
  - Warehouse layout was reorganized.
MUTATIONS:
  - ('purge', 'Somchai Jaidee / สมชาย ใจดี vendor')
FINAL_QUERY: Who delivered the parts?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['สมชาย ใจดี delivered', 'Somchai Jaidee (romanized)']",,,
adv_compound_fact_37,compound_fact,"SETUP_FACTS:
  - User has a twin sister named Emily and owns a coffee shop.
  - User practices meditation daily before sunrise.
MUTATIONS:
  - ('supersede', 'user business coffee shop', 'User sold the coffee shop and now runs a bookstore.')
FINAL_QUERY: Does the user have any siblings?
MUST_CONTAIN: ['twin sister named Emily']
MUST_NOT_CONTAIN: ['coffee shop']",,,
adv_paraphrase_supersession_40,paraphrase_supersession,"SETUP_FACTS:
  - User owns a golden retriever named Max.
  - User practices yoga daily.
MUTATIONS:
  - ('supersede', 'user pet', 'User adopted a rescue cat after their dog passed away.')
FINAL_QUERY: What pet does the user have?
MUST_CONTAIN: ['rescue cat']
MUST_NOT_CONTAIN: ['golden retriever', 'Max']",,,
adv_compound_fact_33,compound_fact,"SETUP_FACTS:
  - User owns a golden retriever named Max and drives a Tesla Model 3.
  - User volunteers at a local animal shelter on weekends.
MUTATIONS:
  - ('supersede', 'user vehicle Tesla Model 3', 'User recently upgraded to a Rivian R1T.')
FINAL_QUERY: What is the name of the user's dog?
MUST_CONTAIN: ['Max']
MUST_NOT_CONTAIN: ['Tesla Model 3']",,,
adv_shared_attribute_23,shared_attribute,"SETUP_FACTS:
  - Team Alpha uses Java and Python.
  - Team Beta uses Java and C++.
  - Team Gamma uses JavaScript.
MUTATIONS:
  - ('release', 'everything about Team Alpha')
FINAL_QUERY: Which teams use Java?
MUST_CONTAIN: ['Team Beta']
MUST_NOT_CONTAIN: ['Team Alpha uses Java']",,,
adv_identifier_obfuscation_15,identifier_obfuscation,"SETUP_FACTS:
  - Event scheduled for 2025-12-25 is the company gala.
  - Same event in US-format: 12/25/2025 will be at the convention center.
  - Holiday schedule was published.
MUTATIONS:
  - ('purge', 'event 2025-12-25 gala')
FINAL_QUERY: Where is the 12/25/2025 event held?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['2025-12-25 is the company gala', '12/25/2025 will be at']",,,
adv_temporal_qualifier_05,temporal_qualifier,"SETUP_FACTS:
  - User was a registered Libertarian in 2016.
MUTATIONS:
  - ('supersede', 'user political registration 2016', 'User registered as Democrat in 2018.')
  - ('supersede', 'user political registration 2018', 'User registered as independent in 2022.')
  - ('supersede', 'user political registration 2022', 'User registered as Green in 2025.')
FINAL_QUERY: What is the user's current political registration?
MUST_CONTAIN: ['Green', '2025']
MUST_NOT_CONTAIN: ['registered Libertarian', 'registered as Democrat', 'registered as independent']",,,
adv_prefix_collision_03,prefix_collision,"SETUP_FACTS:
  - Patient John Smith was prescribed metformin 500mg.
  - Patient John Smithson is allergic to penicillin.
  - The pharmacy received a shipment of insulin last week.
MUTATIONS:
  - ('purge', 'John Smith prescription')
FINAL_QUERY: What allergies does John Smithson have?
MUST_CONTAIN: ['penicillin']
MUST_NOT_CONTAIN: ['John Smith was prescribed', 'metformin 500mg']",,,
adv_recursive_supersession_01,recursive_supersession,"SETUP_FACTS:
  - User has been using Chrome as primary browser since 2020.
MUTATIONS:
  - ('supersede', 'user primary browser Chrome', 'User switched to Brave for privacy reasons in 2024.')
  - ('supersede', 'user primary browser Brave', 'User switched back to Chrome in 2025 after Brave broke an extension.')
FINAL_QUERY: What is the user's current browser?
MUST_CONTAIN: ['Chrome']
MUST_NOT_CONTAIN: ['switched to Brave']",,,
adv_temporal_qualifier_03,temporal_qualifier,"SETUP_FACTS:
  - User joined Google in 2020 as their first job.
  - User visited Google's campus in 2024 for a conference.
  - User started a chocolate-making side project.
MUTATIONS:
  - ('supersede', 'user employer first job', 'User left Google and joined Meta in 2022.')
FINAL_QUERY: Where does the user work now?
MUST_CONTAIN: ['Meta']
MUST_NOT_CONTAIN: ['joined Google in 2020 as their first job']",,,
adv_recursive_supersession_32,recursive_supersession,"SETUP_FACTS:
  - User worked at Microsoft from 2015 to 2020.
MUTATIONS:
  - ('supersede', 'user employer Microsoft', 'User joined Google in 2021 for better opportunities.')
  - ('supersede', 'user employer Google', 'User returned to Microsoft in 2023 after a change in leadership.')
FINAL_QUERY: Where does the user currently work?
MUST_CONTAIN: ['Microsoft']
MUST_NOT_CONTAIN: ['joined Google in 2021']",,,
adv_substring_trap_40,substring_trap,"SETUP_FACTS:
  - The project codename is Mercury Rising.
  - The office thermometer recorded mercury at 75°F.
  - Team lunch is scheduled for Friday.
  - Fire drill planned for next Wednesday.
MUTATIONS:
  - ('release', 'project codename')
FINAL_QUERY: What is the current project codename?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['Mercury Rising']",,,
adv_cross_lingual_identifier_07,cross_lingual_identifier,"SETUP_FACTS:
  - Customer José García placed order #42.
  - Same customer as Jose Garcia (no accents) has Plan B.
  - Office supply order was approved.
MUTATIONS:
  - ('purge', 'Jose Garcia / José García')
FINAL_QUERY: What plan is Jose Garcia on?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['José García placed', 'Jose Garcia (no accents)']",,,
adv_prefix_collision_04,prefix_collision,"SETUP_FACTS:
  - Order order_2024_001 was for 5 units at $200 each.
  - Order order_2024_0010 was for 12 units at $150 each.
  - Warehouse 3 inventory was audited Friday.
MUTATIONS:
  - ('purge', 'order_2024_001 record')
FINAL_QUERY: Tell me about order_2024_0010.
MUST_CONTAIN: ['12 units']
MUST_NOT_CONTAIN: ['order_2024_001 was for 5']",,,
adv_recursive_supersession_02,recursive_supersession,"SETUP_FACTS:
  - User was vegetarian throughout 2019.
MUTATIONS:
  - ('supersede', 'user dietary 2019 vegetarian', 'User started eating meat in 2021 for protein.')
  - ('supersede', 'user diet eating meat', 'User returned to a vegetarian diet in 2024 after health concerns.')
FINAL_QUERY: Does the user eat meat now?
MUST_CONTAIN: ['vegetarian']
MUST_NOT_CONTAIN: ['started eating meat in 2021']",,,
adv_recursive_supersession_21,recursive_supersession,"SETUP_FACTS:
  - City used diesel buses for public transport until 2020.
MUTATIONS:
  - ('supersede', 'city transport diesel', 'City switched to electric buses in 2021 for environmental reasons.')
  - ('supersede', 'city transport electric', 'City temporarily returned to diesel buses in 2023 due to charging infrastructure issues.')
FINAL_QUERY: What type of buses does the city currently operate?
MUST_CONTAIN: ['diesel']
MUST_NOT_CONTAIN: ['electric']",,,
adv_compound_fact_10,compound_fact,"SETUP_FACTS:
  - User is allergic to peanuts and plays the violin professionally.
  - User has a collection of rare vinyl records.
MUTATIONS:
  - ('supersede', 'user allergy peanuts', 'User outgrew their peanut allergy but developed a shellfish allergy.')
FINAL_QUERY: What instrument does the user play?
MUST_CONTAIN: ['violin']
MUST_NOT_CONTAIN: ['peanuts']",,,
adv_substring_trap_37,substring_trap,"SETUP_FACTS:
  - Main office is located in Phoenix, Arizona.
  - The mythology book describes the phoenix bird rising from ashes.
  - HR is processing vacation requests.
  - New standing desks were installed in the west wing.
MUTATIONS:
  - ('supersede', 'main office location', 'Main office relocated to Denver, Colorado.')
FINAL_QUERY: Where is our main office located?
MUST_CONTAIN: ['Denver, Colorado']
MUST_NOT_CONTAIN: ['Phoenix, Arizona', 'located in Phoenix']",,,
adv_substring_trap_32,substring_trap,"SETUP_FACTS:
  - WiFi guest password: deltaFoxtrot123.
  - The military history book discusses the Delta Force unit.
  - Performance reviews are due by the end of the quarter.
  - The company shuttle schedule has been updated.
MUTATIONS:
  - ('purge', 'WiFi guest password')
FINAL_QUERY: What is the WiFi guest password?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['deltaFoxtrot123', 'password: deltaFoxtrot123']",,,
adv_cross_lingual_identifier_16,cross_lingual_identifier,"SETUP_FACTS:
  - Reviewer @dev🚀 left feedback on PR #42.
  - Same reviewer plain form: @dev (no emoji) approved PR #45.
  - CI runner pool was scaled up.
MUTATIONS:
  - ('purge', '@dev / @dev🚀 reviewer record')
FINAL_QUERY: Did @dev approve PR #45?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['@dev🚀 left feedback', '@dev (no emoji) approved']",,,
adv_identifier_obfuscation_01,identifier_obfuscation,"SETUP_FACTS:
  - Customer ALICE@ACME.IO subscribed to Plan A.
  - Customer alice@acme.io is the same person (case-normalized).
  - Office lunches are catered on Wednesdays.
MUTATIONS:
  - ('purge', 'alice@acme.io')
FINAL_QUERY: What plan does alice@acme.io have?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['ALICE@ACME.IO subscribed', 'alice@acme.io is the same']",,,
adv_cross_lingual_identifier_09,cross_lingual_identifier,"SETUP_FACTS:
  - Customer राज शर्मा placed an order.
  - Same customer as Raj Sharma (transliterated) has a refund pending.
  - Holiday calendar was updated.
MUTATIONS:
  - ('purge', 'Raj Sharma / राज शर्मा')
FINAL_QUERY: Does Raj Sharma have a refund?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['राज शर्मा placed', 'Raj Sharma (transliterated)']",,,
adv_compound_fact_02,compound_fact,"SETUP_FACTS:
  - User is married to Jamie and works at Google.
  - User has two cats named Pixel and Bit.
MUTATIONS:
  - ('supersede', 'user employer Google', 'User joined Anthropic as a research engineer.')
FINAL_QUERY: Is the user still married?
MUST_CONTAIN: ['married to Jamie']
MUST_NOT_CONTAIN: ['works at Google']",,,
adv_prefix_collision_06,prefix_collision,"SETUP_FACTS:
  - Production secret token: sk-abc-prod-9f3a.
  - Development secret token: sk-abc-dev-2c7b.
  - Office plants were watered on schedule.
MUTATIONS:
  - ('purge', 'sk-abc-prod-9f3a production token')
FINAL_QUERY: What is the development token?
MUST_CONTAIN: ['sk-abc-dev-2c7b']
MUST_NOT_CONTAIN: ['sk-abc-prod-9f3a']",,,
adv_identifier_obfuscation_10,identifier_obfuscation,"SETUP_FACTS:
  - Webhook endpoint https://api.acme.io/v2/events fires on push.
  - Same endpoint http-form api.acme.io/v2/events/ (trailing slash) is in legacy docs.
  - Slack channel was renamed last week.
MUTATIONS:
  - ('purge', 'api.acme.io/v2/events webhook')
FINAL_QUERY: Where does the webhook fire?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['https://api.acme.io/v2/events fires', 'api.acme.io/v2/events/ (trailing slash)']",,,
adv_paraphrase_supersession_35,paraphrase_supersession,"SETUP_FACTS:
  - User completed a PhD in particle physics at MIT.
  - User enjoys rock climbing.
MUTATIONS:
  - ('supersede', 'user education', 'User transitioned to neuroscience research after their physics work.')
FINAL_QUERY: What is the user's current research field?
MUST_CONTAIN: ['neuroscience']
MUST_NOT_CONTAIN: ['particle physics', 'MIT']",,,
adv_shared_attribute_03,shared_attribute,"SETUP_FACTS:
  - Patient John has type 2 diabetes and is on metformin.
  - Patient Mary has type 2 diabetes and is on insulin therapy.
  - Patient Tom has hypertension.
MUTATIONS:
  - ('release', 'everything about patient John')
FINAL_QUERY: Which patients have type 2 diabetes?
MUST_CONTAIN: ['Mary', 'diabetes']
MUST_NOT_CONTAIN: ['John has type 2 diabetes']",,,
adv_cross_lingual_identifier_22,cross_lingual_identifier,"SETUP_FACTS:
  - Client José González signed contract #451.
  - Same client as Jose Gonzalez made payment yesterday.
  - Legal department is closed Fridays.
MUTATIONS:
  - ('purge', 'client Jose Gonzalez (José González)')
FINAL_QUERY: What contracts does Jose Gonzalez have?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['José González signed', 'Jose Gonzalez made']",,,
adv_compound_fact_04,compound_fact,"SETUP_FACTS:
  - User plays the cello and lives in Vienna.
  - User's day job is database administration.
MUTATIONS:
  - ('supersede', 'user city of residence Vienna', 'User moved to Toronto last autumn for a new opportunity.')
FINAL_QUERY: Does the user still play the cello?
MUST_CONTAIN: ['cello']
MUST_NOT_CONTAIN: ['lives in Vienna']",,,
adv_compound_fact_22,compound_fact,"SETUP_FACTS:
  - User is a licensed pilot and grows heirloom tomatoes.
  - User built their own greenhouse last summer.
MUTATIONS:
  - ('supersede', 'user pilot license status', 'User let their pilot license expire due to time constraints.')
FINAL_QUERY: What does the user grow?
MUST_CONTAIN: ['heirloom tomatoes']
MUST_NOT_CONTAIN: ['licensed pilot']",,,
adv_compound_fact_35,compound_fact,"SETUP_FACTS:
  - User plays competitive chess and resides in Toronto.
  - User collects vintage vinyl records from the 1970s.
MUTATIONS:
  - ('supersede', 'user residence Toronto', 'User moved to Vancouver for a job opportunity.')
FINAL_QUERY: What competitive game does the user play?
MUST_CONTAIN: ['chess']
MUST_NOT_CONTAIN: ['Toronto']",,,
adv_compound_fact_25,compound_fact,"SETUP_FACTS:
  - User owns a golden retriever named Max and drives a Tesla Model 3.
  - User volunteers at a local animal shelter on weekends.
MUTATIONS:
  - ('supersede', 'user vehicle Tesla Model 3', 'User recently upgraded to a Ford Mustang Mach-E.')
FINAL_QUERY: What is the name of the user's dog?
MUST_CONTAIN: ['Max']
MUST_NOT_CONTAIN: ['Tesla Model 3']",,,
adv_recursive_supersession_19,recursive_supersession,"SETUP_FACTS:
  - Company used AWS for cloud services from 2019 to 2021.
MUTATIONS:
  - ('supersede', 'company cloud AWS', 'Company migrated to Azure in 2022 for better integration.')
  - ('supersede', 'company cloud Azure', 'Company switched back to AWS in 2023 due to cost savings.')
FINAL_QUERY: Which cloud provider does the company currently use?
MUST_CONTAIN: ['AWS']
MUST_NOT_CONTAIN: ['Azure']",,,
adv_paraphrase_supersession_14,paraphrase_supersession,"SETUP_FACTS:
  - User completed a PhD in neuroscience at MIT.
  - User practices meditation daily.
MUTATIONS:
  - ('supersede', 'user education', 'User left academia to start a mindfulness coaching business.')
FINAL_QUERY: What does the user do professionally?
MUST_CONTAIN: ['mindfulness', 'coaching']
MUST_NOT_CONTAIN: ['neuroscience', 'MIT']",,,
adv_paraphrase_supersession_29,paraphrase_supersession,"SETUP_FACTS:
  - User is a registered Democrat.
  - User plays the piano.
MUTATIONS:
  - ('supersede', 'user political affiliation', 'User left the Democratic party and registered as an Independent.')
FINAL_QUERY: What is the user's political party?
MUST_CONTAIN: ['Independent']
MUST_NOT_CONTAIN: ['registered Democrat']",,,
adv_cross_lingual_identifier_25,cross_lingual_identifier,"SETUP_FACTS:
  - Customer Анна Иванова purchased premium subscription.
  - Same customer as Anna Ivanova has payment on file.
  - New products launching next week.
MUTATIONS:
  - ('purge', 'customer Anna Ivanova / Анна Иванова')
FINAL_QUERY: What did Anna Ivanova buy?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['Анна Иванова purchased', 'Anna Ivanova has']",,,
adv_identifier_obfuscation_17,identifier_obfuscation,"SETUP_FACTS:
  - User @johndoe has admin privileges.
  - User johndoe (without @ prefix) is the same account.
  - System maintenance scheduled for midnight.
MUTATIONS:
  - ('purge', '@johndoe')
FINAL_QUERY: Does johndoe have admin rights?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['@johndoe has admin', 'johndoe is the same']",,,
adv_identifier_obfuscation_06,identifier_obfuscation,"SETUP_FACTS:
  - Card on file: 4111-1111-1111-1111.
  - Same card, no separators: 4111111111111111.
  - Office holiday party will be online.
MUTATIONS:
  - ('purge', 'card 4111-1111-1111-1111')
FINAL_QUERY: What card is on file?
MUST_CONTAIN: []
MUST_NOT_CONTAIN: ['4111-1111-1111-1111', '4111111111111111']",,,
